"user_statuses_count","user_followers_count","full_text","user_url","user_location","user_description","user_profile_image_url_https","is_quote_status","quote_count","user_friends_count","full_text_norm","entities_user_mentions","entities_urls","in_reply_to_user_id_str","favorite_count","lang","user_created_at","user_listed_count","created_at","user_id_str","user_favourites_count","user_verified","source","in_reply_to_status_id_str","reply_count","in_reply_to_screen_name","id_str","entities_hashtags","text_sentiment","retweet_count","user_name","user_screen_name"
"None","None","Anak-anak SD dari Sentani, Papua berkunjung ke istana, hari ini. Saya pernah bertemu mereka di Sentani, saat berkunjung ke sana Maret lalu, seusai banjir bandang menerjang kampung mereka. Saat itu, anak-anak ini minta sekolah mereka diperbaiki, dan ingin diundang ke ibu kota.","None","None","None","None","None","None","None","Anak-anak SD dari Sentani, Papua berkunjung ke istana, hari ini. Saya pernah bertemu mereka di Sentani, saat berkunjung ke sana Maret lalu, seusai banjir bandang menerjang kampung mereka. Saat itu, anak-anak ini minta sekolah mereka diperbaiki, dan ingin diundang ke ibu kota.","","None","",9093,"None","None","None","2019-10-11 08:10","None","None","None","None","None",248,"","1182569090994458624","","negative",956,"Joko Widodo","jokowi"
"None","None","Saya juga mengajak masyarakat untuk bersama-sama memerangi radikalisme dan terorisme yang ada di Tanah Air. Hanya dengan upaya kita bersama, terorisme dan radikalisme akan bisa kita selesaikan dan berantas dari negara yang kita cintai ini.","None","None","None","None","None","None","None","Saya juga mengajak masyarakat untuk bersama-sama memerangi radikalisme dan terorisme yang ada di Tanah Air. Hanya dengan upaya kita bersama, terorisme dan radikalisme akan bisa kita selesaikan dan berantas dari negara yang kita cintai ini.","","None","",6698,"None","None","None","2019-10-10 14:20","None","None","None","None","None",1651,"","1182299933858131970","","positive",961,"Joko Widodo","jokowi"
"None","None","Bapak Wiranto saat ini dalam penanganan tim dokter di RSPAD Gatot Subroto. Mohon doa untuk kesembuhan beliau. Terkait peristiwa itu, saya telah menginstruksikan kepada Polri untuk mengusut tuntas dan menindak tegas pelaku penusukan beserta jaringannya.","None","None","None","None","None","None","None","Bapak Wiranto saat ini dalam penanganan tim dokter di RSPAD Gatot Subroto. Mohon doa untuk kesembuhan beliau. Terkait peristiwa itu, saya telah menginstruksikan kepada Polri untuk mengusut tuntas dan menindak tegas pelaku penusukan beserta jaringannya.","","None","",13410,"None","None","None","2019-10-10 14:19","None","None","None","None","None",1641,"","1182299696779280384","","positive",1952,"Joko Widodo","jokowi"
"None","None","PM Singapura Lee Hsien Loong memamerkan anggrek hibrida yang tengah mekar di jambangan bunga ruang utama The Istana, kemarin. Nama anggrek silangan ini: Dendrobium Iriana Jokowi -- dari nama Ibu Negara yang empat tahun lalu jadi tamu kehormatan di Singapore Botanic Gardens.","None","None","None","None","None","None","None","PM Singapura Lee Hsien Loong memamerkan anggrek hibrida yang tengah mekar di jambangan bunga ruang utama The Istana, kemarin. Nama anggrek silangan ini: Dendrobium Iriana Jokowi -- dari nama Ibu Negara yang empat tahun lalu jadi tamu kehormatan di Singapore Botanic Gardens.","","None","",7435,"None","None","None","2019-10-09 10:11","None","None","None","None","None",254,"","1181874815591841792","","positive",729,"Joko Widodo","jokowi"
"None","None","Saya dan PM Singapura Lee Hsien Loong kemarin membahas antara lain soal Flight Information Region dalam Annual Leaders Meeting. Tim teknis kedua negara telah memulai pertemuan pada 7 Oktober dan diharapkan segera membuahkan hasil konkret. Terima kasih PM Lee.","None","None","None","None","None","None","None","Saya dan PM Singapura Lee Hsien Loong kemarin membahas antara lain soal Flight Information Region dalam Annual Leaders Meeting. Tim teknis kedua negara telah memulai pertemuan pada 7 Oktober dan diharapkan segera membuahkan hasil konkret. Terima kasih PM Lee.","","None","",6251,"None","None","None","2019-10-09 01:32","None","None","None","None","None",190,"","1181744089030508545","","neutral",596,"Joko Widodo","jokowi"
"None","None","Menuju Presidents Lounge, The Istana, Singapura, bersama Perdana Menteri Lee Hsien Loong sore tadi seusai upacara penyambutan.","None","None","None","None","None","None","None","Menuju Presidents Lounge, The Istana, Singapura, bersama Perdana Menteri Lee Hsien Loong sore tadi seusai upacara penyambutan.","","None","",5781,"None","None","None","2019-10-08 14:29","None","None","None","None","None",151,"","1181577452272967681","","neutral",521,"Joko Widodo","jokowi"
"None","None","Tak kurang dari 44 kantor dan sarana pendidikan, 450 ruko, dan 165 rumah rusak dalam kerusuhan di Wamena, 23 September lalu. Sebelum ke Singapura tadi, saya memerintahkan Menteri PUPR, Wakil Menteri Keuangan, dan Kepala BNPB untuk menangani kerusakan itu.","None","None","None","None","None","None","None","Tak kurang dari 44 kantor dan sarana pendidikan, 450 ruko, dan 165 rumah rusak dalam kerusuhan di Wamena, 23 September lalu. Sebelum ke Singapura tadi, saya memerintahkan Menteri PUPR, Wakil Menteri Keuangan, dan Kepala BNPB untuk menangani kerusakan itu.","","None","",6030,"None","None","None","2019-10-08 14:22","None","None","None","None","None",402,"","1181575477414318080","","negative",745,"Joko Widodo","jokowi"
"None","None","Menuju Singapura sore ini untuk menghadiri Annual Leaders Meeting dengan Perdana Menteri Lee Hsien Loong. Kami bertemu untuk membahas antara lain dua kawasan industri kerjasama Indonesia dan Singapura: Kendal Industrial Park di Jawa Tengah dan Nongsa Digital Park di Kota Batam.","None","None","None","None","None","None","None","Menuju Singapura sore ini untuk menghadiri Annual Leaders Meeting dengan Perdana Menteri Lee Hsien Loong. Kami bertemu untuk membahas antara lain dua kawasan industri kerjasama Indonesia dan Singapura: Kendal Industrial Park di Jawa Tengah dan Nongsa Digital Park di Kota Batam.","","None","",5646,"None","None","None","2019-10-08 10:59","None","None","None","None","None",181,"","1181524561063399424","","neutral",558,"Joko Widodo","jokowi"
"None","None","Perdana Menteri Belanda Mark Rutte tiba di Istana Bogor siang tadi. Di antara negara-negara Eropa, Belanda adalah mitra perdagangan nomor dua terbesar Indonesia, mitra investasi nomor satu, dan wisatawan nomor empat terbesar dari Eropa. Selamat datang di Indonesia, PM Rutte.","None","None","None","None","None","None","None","Perdana Menteri Belanda Mark Rutte tiba di Istana Bogor siang tadi. Di antara negara-negara Eropa, Belanda adalah mitra perdagangan nomor dua terbesar Indonesia, mitra investasi nomor satu, dan wisatawan nomor empat terbesar dari Eropa. Selamat datang di Indonesia, PM Rutte.","","None","",9101,"None","None","None","2019-10-07 12:24","None","None","None","None","None",313,"","1181183447047364608","","neutral",904,"Joko Widodo","jokowi"
"None","None","Selamat HUT ke-74 TNI. Penghargaan saya kepada prajurit TNI yang gugur di medan tugas demi tegaknya kedaulatan NKRI. Juga atas peran TNI yang sigap membantu rakyat di wilayah bencana, menjaga kelancaran pemilu 2019, dan memastikan negara hadir sampai pulau terdepan Indonesia.","None","None","None","None","None","None","None","Selamat HUT ke-74 TNI. Penghargaan saya kepada prajurit TNI yang gugur di medan tugas demi tegaknya kedaulatan NKRI. Juga atas peran TNI yang sigap membantu rakyat di wilayah bencana, menjaga kelancaran pemilu 2019, dan memastikan negara hadir sampai pulau terdepan Indonesia.","","None","",10016,"None","None","None","2019-10-05 10:06","None","None","None","None","None",237,"","1180424077107851264","","positive",1254,"Joko Widodo","jokowi"
"None","None","Tentara Nasional Indonesia adalah milik nasional yang berada di atas semua golongan, yang senantiasa menjamin keutuhan wilayah nasional, dan membangun persatuan dan solidaritas anak bangsa. Selamat Hari TNI ke-74. TNI profesional adalah kebanggaan rakyat.","None","None","None","None","None","None","None","Tentara Nasional Indonesia adalah milik nasional yang berada di atas semua golongan, yang senantiasa menjamin keutuhan wilayah nasional, dan membangun persatuan dan solidaritas anak bangsa. Selamat Hari TNI ke-74. TNI profesional adalah kebanggaan rakyat.","","None","",13033,"None","None","None","2019-10-05 02:01","None","None","None","None","None",302,"","1180302080692539392","","positive",2149,"Joko Widodo","jokowi"
"None","None","Kerja keras para Manggala Agni, jajaran TNI dan POLRI, BPPT dan BMKG, BNPB, serta BPBD dan Masyarakat Peduli Api di Sumatra dan Kalimantan telah menunjukkan hasil. Alhamdulillah, sepekan terakhir, kebakaran hutan dan lahan telah berkurang jauh.","None","None","None","None","None","None","None","Kerja keras para Manggala Agni, jajaran TNI dan POLRI, BPPT dan BMKG, BNPB, serta BPBD dan Masyarakat Peduli Api di Sumatra dan Kalimantan telah menunjukkan hasil. Alhamdulillah, sepekan terakhir, kebakaran hutan dan lahan telah berkurang jauh.","","None","",16804,"None","None","None","2019-10-04 02:21","None","None","None","None","None",886,"","1179944590662459397","","negative",2272,"Joko Widodo","jokowi"
"None","None","Lima tahun sudah pemerintahan ini, dan siang tadi saya memimpin sidang kabinet paripurna terakhir di periode 2014-2019. Terima kasih kepada semua menteri, kepala lembaga, atas kerja keras lima tahun ini membantu saya dan Pak JK menjalankan visi dan program-program kita bersama.","None","None","None","None","None","None","None","Lima tahun sudah pemerintahan ini, dan siang tadi saya memimpin sidang kabinet paripurna terakhir di periode 2014-2019. Terima kasih kepada semua menteri, kepala lembaga, atas kerja keras lima tahun ini membantu saya dan Pak JK menjalankan visi dan program-program kita bersama.","","None","",16498,"None","None","None","2019-10-03 10:00","None","None","None","None","None",1193,"","1179697807692722177","","positive",2274,"Joko Widodo","jokowi"
"None","None","Ini kisah tentang batik. Jumat lalu, saya kedatangan tamu, seorang sahabat, mantan Perdana Menteri Australia, Pak Malcolm Turnbull. Beliau mengenakan kemeja batik. Dan saya jadi pangling melihatnya. Pak Turnbull terlihat seperti bukan dari Australia. Seperti pria dari Solo...","None","None","None","None","None","None","None","Ini kisah tentang batik. Jumat lalu, saya kedatangan tamu, seorang sahabat, mantan Perdana Menteri Australia, Pak Malcolm Turnbull. Beliau mengenakan kemeja batik. Dan saya jadi pangling melihatnya. Pak Turnbull terlihat seperti bukan dari Australia. Seperti pria dari Solo...","","None","",14400,"None","None","None","2019-10-02 11:56","None","None","None","None","None",813,"","1179364456356298758","","positive",1653,"Joko Widodo","jokowi"
"None","None","Ibu Negara dan Ibu Ida Jusuf Kalla membatik dengan canting pada sebentang kain putih di acara peringatan Hari Batik Nasional 2019 di Puro Mangkunegaran, Surakarta, siang tadi. Saya yang mengenakan batik motif tambal pamiluto pun ikut membatik. Selamat Hari Batik Nasional 2019.","None","None","None","None","None","None","None","Ibu Negara dan Ibu Ida Jusuf Kalla membatik dengan canting pada sebentang kain putih di acara peringatan Hari Batik Nasional 2019 di Puro Mangkunegaran, Surakarta, siang tadi. Saya yang mengenakan batik motif tambal pamiluto pun ikut membatik. Selamat Hari Batik Nasional 2019.","","None","",7658,"None","None","None","2019-10-02 09:49","None","None","None","None","None",150,"","1179332642048745479","","positive",758,"Joko Widodo","jokowi"
"None","None","Dengan kemeja batik, saya menuju Jawa Tengah pagi ini untuk menghadiri puncak peringatan Hari Batik Nasional 2019 di Kota Surakarta. Sudahkah Anda mengenakan batik hari ini?","None","None","None","None","None","None","None","Dengan kemeja batik, saya menuju Jawa Tengah pagi ini untuk menghadiri puncak peringatan Hari Batik Nasional 2019 di Kota Surakarta. Sudahkah Anda mengenakan batik hari ini?","","None","",13763,"None","None","None","2019-10-02 04:03","None","None","None","None","None",718,"","1179245420159160320","","positive",1494,"Joko Widodo","jokowi"
"None","None","Selamat bekerja kepada para anggota MPR/DPR/DPD RI masa bakti tahun 2019-2024.","None","None","None","None","None","None","None","Selamat bekerja kepada para anggota MPR/DPR/DPD RI masa bakti tahun 2019-2024.","","None","",13881,"None","None","None","2019-10-01 08:37","None","None","None","None","None",830,"","1178952045941776386","","neutral",1830,"Joko Widodo","jokowi"
"None","None","Persembahan lagu-lagu perjuangan oleh aubade pada peringatan Hari Kesaktian Pancasila yang hikmat di Monumen Pancasila Sakti, Lubang Buaya, Jakarta Timur, Selasa 1 Oktober 2019.","None","None","None","None","None","None","None","Persembahan lagu-lagu perjuangan oleh aubade pada peringatan Hari Kesaktian Pancasila yang hikmat di Monumen Pancasila Sakti, Lubang Buaya, Jakarta Timur, Selasa 1 Oktober 2019.","","None","",7231,"None","None","None","2019-10-01 08:03","None","None","None","None","None",166,"","1178943526224052224","","positive",757,"Joko Widodo","jokowi"
"None","None","Sebagai dasar negara, Pancasila telah memandu bangsa Indonesia untuk bersatu dalam keberagaman. Berbagai ujian datang menggoyahkan persatuan itu, tapi semuanya terpental oleh komitmen kita bersama untuk mengamalkan nilai-nilai luhur Pancasila dalam kehidupan bermasyarakat.","None","None","None","None","None","None","None","Sebagai dasar negara, Pancasila telah memandu bangsa Indonesia untuk bersatu dalam keberagaman. Berbagai ujian datang menggoyahkan persatuan itu, tapi semuanya terpental oleh komitmen kita bersama untuk mengamalkan nilai-nilai luhur Pancasila dalam kehidupan bermasyarakat.","","None","",17498,"None","None","None","2019-10-01 02:05","None","None","None","None","None",814,"","1178853401875976192","","positive",4198,"Joko Widodo","jokowi"
"None","None","Kepala Suku Lembah Baliem di Wamena juga telah mengimbau seluruh warga untuk tidak mengungsi keluar Wamena. Seluruh masyarakat agar tetap tenang, menahan diri, menghindari provokasi-provokasi seperti yang begitu banyak di media sosial, dengan berbagai isu yang berkembang.","None","None","None","None","None","None","None","Kepala Suku Lembah Baliem di Wamena juga telah mengimbau seluruh warga untuk tidak mengungsi keluar Wamena. Seluruh masyarakat agar tetap tenang, menahan diri, menghindari provokasi-provokasi seperti yang begitu banyak di media sosial, dengan berbagai isu yang berkembang.","","None","",3423,"None","None","None","2019-09-30 09:37","None","None","None","None","None",194,"","1178604719469547520","","negative",458,"Joko Widodo","jokowi"
"None","None","Aparat keamanan telah bekerja keras untuk melindungi semua warga. Polisi telah menangkap beberapa tersangka pembunuhan dan pembakaran di Wamena itu. Saya sudah memerintahkan Menkopolhukam, jajaran TNI dan Polri, untuk mengejar perusuh-perusuh yang belum tertangkap.","None","None","None","None","None","None","None","Aparat keamanan telah bekerja keras untuk melindungi semua warga. Polisi telah menangkap beberapa tersangka pembunuhan dan pembakaran di Wamena itu. Saya sudah memerintahkan Menkopolhukam, jajaran TNI dan Polri, untuk mengejar perusuh-perusuh yang belum tertangkap.","","None","",3806,"None","None","None","2019-09-30 09:36","None","None","None","None","None",146,"","1178604488086523906","","negative",485,"Joko Widodo","jokowi"
"None","None","Saya menyampaikan dukacita yang mendalam atas meninggalnya 33 orang warga dalam peristiwa kekerasan di Wamena. Kejadian ini bukanlah konflik bernuansa etnis. Ini penyerangan oleh kelompok kriminal bersenjata ke warga di permukiman, seraya melakukan pembakaran rumah penduduk.","None","None","None","None","None","None","None","Saya menyampaikan dukacita yang mendalam atas meninggalnya 33 orang warga dalam peristiwa kekerasan di Wamena. Kejadian ini bukanlah konflik bernuansa etnis. Ini penyerangan oleh kelompok kriminal bersenjata ke warga di permukiman, seraya melakukan pembakaran rumah penduduk.","","None","",17868,"None","None","None","2019-09-30 09:35","None","None","None","None","None",1555,"","1178604236763828224","","neutral",3025,"Joko Widodo","jokowi"
"None","None","My deepest condolences to the family and friends as well as to the people of France on the passing of former President Jacques Chirac (1932-2019). President Chirac was a leader who was loved and close to his people. A leader that unites and brought prosperity to France.","None","None","None","None","None","None","None","My deepest condolences to the family and friends as well as to the people of France on the passing of former President Jacques Chirac (1932-2019). President Chirac was a leader who was loved and close to his people. A leader that unites and brought prosperity to France.","","None","",5504,"None","None","None","2019-09-27 08:07","None","None","None","None","None",501,"","1177495013036421120","","neutral",488,"Joko Widodo","jokowi"
"None","None","Duka cita yang mendalam kepada keluarga serta rakyat Prancis atas wafatnya mantan Presiden Prancis Jacques Chirac (1932-2019). Presiden Chirac adalah pemimpin yang dicintai dan dekat kepada rakyatnya, seorang tokoh yang mempersatukan dan memberikan kesejahteraan ke Prancis.","None","None","None","None","None","None","None","Duka cita yang mendalam kepada keluarga serta rakyat Prancis atas wafatnya mantan Presiden Prancis Jacques Chirac (1932-2019). Presiden Chirac adalah pemimpin yang dicintai dan dekat kepada rakyatnya, seorang tokoh yang mempersatukan dan memberikan kesejahteraan ke Prancis.","","None","",12175,"None","None","None","2019-09-27 08:07","None","None","None","None","None",2091,"","1177494857700405248","","positive",1140,"Joko Widodo","jokowi"
"None","None","Saya telah menerima laporan dari Kapolri mengenai penyebab meninggalnya ananda Randi dan Yusuf. Saya meminta Kapolri untuk melakukan investigasi serta memeriksa seluruh jajarannya. Dan, jika ada unsur pelanggaran prosedur dalam kejadian ini, pelakunya harus mendapat sanksi.","None","None","None","None","None","None","None","Saya telah menerima laporan dari Kapolri mengenai penyebab meninggalnya ananda Randi dan Yusuf. Saya meminta Kapolri untuk melakukan investigasi serta memeriksa seluruh jajarannya. Dan, jika ada unsur pelanggaran prosedur dalam kejadian ini, pelakunya harus mendapat sanksi.","","None","",8138,"None","None","None","2019-09-27 07:25","None","None","None","None","None",1009,"","1177484342903197696","","negative",1623,"Joko Widodo","jokowi"
"None","None","Saya menyampaikan belasungkawa yang dalam atas meninggalnya ananda Randi dan ananda Yusuf Kardawi, mahasiswa Universitas Halu Oleo, seusai menyampaikan aspirasi mahasiswa di DPRD Sulawesi Tenggara, Kamis lalu.","None","None","None","None","None","None","None","Saya menyampaikan belasungkawa yang dalam atas meninggalnya ananda Randi dan ananda Yusuf Kardawi, mahasiswa Universitas Halu Oleo, seusai menyampaikan aspirasi mahasiswa di DPRD Sulawesi Tenggara, Kamis lalu.","","None","",21133,"None","None","None","2019-09-27 07:24","None","None","None","None","None",1297,"","1177484120009539585","","neutral",3751,"Joko Widodo","jokowi"
"None","None","Gempa bumi M 6,5 yang mengguncang kawasan Maluku, Kamis, menurut BPBD Maluku, telah menimbulkan korban jiwa 23 orang, lebih 100 luka-luka, dan ribuan orang mengungsi. Atas nama pribadi dan pemerintah saya turut berduka cita atas musibah yang menimpa saudara-saudara kita.","None","None","None","None","None","None","None","Gempa bumi M 6,5 yang mengguncang kawasan Maluku, Kamis, menurut BPBD Maluku, telah menimbulkan korban jiwa 23 orang, lebih 100 luka-luka, dan ribuan orang mengungsi. Atas nama pribadi dan pemerintah saya turut berduka cita atas musibah yang menimpa saudara-saudara kita.","","None","",9468,"None","None","None","2019-09-27 06:02","None","None","None","None","None",337,"","1177463588341944320","","negative",1806,"Joko Widodo","jokowi"
"None","None","Saya sendiri hendak bertemu dengan perwakilan para mahasiswa, Insya Allah besok, untuk mendengar langsung dan menampung aspirasi yang disampaikan dengan lebih terperinci. Terima kasih.","None","None","None","None","None","None","None","Saya sendiri hendak bertemu dengan perwakilan para mahasiswa, Insya Allah besok, untuk mendengar langsung dan menampung aspirasi yang disampaikan dengan lebih terperinci. Terima kasih.","","None","",13216,"None","None","None","2019-09-26 13:41","None","None","None","None","None",1191,"","1177216722337554432","","neutral",4219,"Joko Widodo","jokowi"
"None","None","Terkait penanganan aksi demonstrasi di lapangan, saya memerintahkan Kapolri agar menanganinya dengan cara-cara persuasif, terukur, dan tidak represif. Saya juga mengingatkan agar demonstrasi hendaknya dilakukan dengan cara-cara yang damai dan tidak mengganggu ketertiban umum.","None","None","None","None","None","None","None","Terkait penanganan aksi demonstrasi di lapangan, saya memerintahkan Kapolri agar menanganinya dengan cara-cara persuasif, terukur, dan tidak represif. Saya juga mengingatkan agar demonstrasi hendaknya dilakukan dengan cara-cara yang damai dan tidak mengganggu ketertiban umum.","","None","",8286,"None","None","None","2019-09-26 13:40","None","None","None","None","None",507,"","1177216480246525953","","positive",1482,"Joko Widodo","jokowi"
"None","None","Saya menghargai aspirasi yang disampaikan para mahasiswa dan berbagai elemen masyarakat selama beberapa hari terakhir. Masukan-masukan yang disampaikan dalam demonstrasi itu menjadi catatan besar dalam rangka memperbaiki kekurangan yang ada di negara kita.","None","None","None","None","None","None","None","Saya menghargai aspirasi yang disampaikan para mahasiswa dan berbagai elemen masyarakat selama beberapa hari terakhir. Masukan-masukan yang disampaikan dalam demonstrasi itu menjadi catatan besar dalam rangka memperbaiki kekurangan yang ada di negara kita.","","None","",32096,"None","None","None","2019-09-26 13:40","None","None","None","None","None",2340,"","1177216303855099904","","positive",7544,"Joko Widodo","jokowi"
"None","None","Dari para cendekiawan dan budayawan yang saya temui hari ini, saya mendengar banyak masukan, di antaranya opsi penerbitan Peraturan Pemerintah Pengganti Undang-Undang terhadap revisi UU KPK. Saya mempertimbangkan usulan itu sambil melihat opsi-opsi lain yang dapat ditempuh.","None","None","None","None","None","None","None","Dari para cendekiawan dan budayawan yang saya temui hari ini, saya mendengar banyak masukan, di antaranya opsi penerbitan Peraturan Pemerintah Pengganti Undang-Undang terhadap revisi UU KPK. Saya mempertimbangkan usulan itu sambil melihat opsi-opsi lain yang dapat ditempuh.","","None","",16536,"None","None","None","2019-09-26 13:35","None","None","None","None","None",1430,"","1177215128397180933","","neutral",3375,"Joko Widodo","jokowi"
